email,result,reason,disposable,accept_all,role,free,user,domain,mx_record,mx_domain,did_you_mean
3ds.information-security@3ds.com,valid,accepted_email,false,true,false,false,3ds.information-security,3ds.com,mxa-00752701.gslb.pphosted.com,pphosted.com,3ds.information-security@cs.com
a365.security@altium.com,valid,accepted_email,false,false,false,false,a365.security,altium.com,aspmx.l.google.com,google.com,
advisories@schutzwerk.com,valid,accepted_email,false,false,false,false,advisories,schutzwerk.com,mx0.schutzwerk.net,schutzwerk.net,
advisories@sra.io,valid,accepted_email,false,false,false,false,advisories,sra.io,sra-io.mail.protection.outlook.com,outlook.com,
alibaba-cna@list.alibaba-inc.com,valid,accepted_email,false,false,false,false,alibaba-cna,list.alibaba-inc.com,mx1.alibaba-inc.com,alibaba-inc.com,
alphabet-cna@google.com,valid,accepted_email,false,true,false,false,alphabet-cna,google.com,smtp.google.com,google.com,
android-cna-team@google.com,valid,accepted_email,false,true,false,false,android-cna-team,google.com,smtp.google.com,google.com,
art@zuso.ai,valid,accepted_email,false,false,false,false,art,zuso.ai,aspmx.l.google.com,google.com,
audit@patchstack.com,valid,accepted_email,false,false,false,false,audit,patchstack.com,aspmx.l.google.com,google.com,
aws-security@amazon.com,valid,accepted_email,false,true,false,false,aws-security,amazon.com,amazon-smtp.amazon.com,amazon.com,
biossecurity@ami.com,valid,accepted_email,false,false,false,false,biossecurity,ami.com,ami-com.mail.protection.outlook.com,outlook.com,biossecurity@aol.com
brocade.sirt@broadcom.com,valid,accepted_email,false,true,false,false,brocade.sirt,broadcom.com,mx1.smtp.goog,smtp.goog,
browser-security@yandex-team.ru,valid,accepted_email,false,false,false,false,browser-security,yandex-team.ru,mx.yandex-team.ru,yandex-team.ru,
bugreport@qualys.com,valid,accepted_email,false,true,false,false,bugreport,qualys.com,mxa-001ca501.gslb.pphosted.com,pphosted.com,
bugs@9front.org,unknown,unavailable_smtp,false,false,false,false,bugs,9front.org,9front.inri.net,inri.net,
bugs@crowdstrike.com,valid,accepted_email,false,true,false,false,bugs,crowdstrike.com,mxa-00206402.gslb.pphosted.com,pphosted.com,
bugs@dualvs.com,valid,accepted_email,false,false,false,false,bugs,dualvs.com,moose.mxrouting.net,mxrouting.net,
cert@cert.org,valid,accepted_email,false,false,false,false,cert,cert.org,tilton.sei.cmu.edu,cmu.edu,
cert@ncsc.nl,valid,accepted_email,false,false,false,false,cert,ncsc.nl,mx.ncsc.nl,ncsc.nl,
chromeos-security@chromium.org,valid,accepted_email,false,false,false,false,chromeos-security,chromium.org,aspmx.l.google.com,google.com,
cna@cloudflare.com,valid,accepted_email,false,true,false,false,cna,cloudflare.com,mxa-canary.global.inbound.cf-emailsecurity.net,cf-emailsecurity.net,
cna@cyber.gov.il,valid,accepted_email,false,false,false,false,cna,cyber.gov.il,incd.in.tmes.trendmicro.eu,trendmicro.eu,
cna@djangoproject.com,valid,accepted_email,false,false,false,false,cna,djangoproject.com,alt1.aspmx.l.google.com,google.com,
cna@erlef.org,valid,accepted_email,false,false,false,false,cna,erlef.org,in1-smtp.messagingengine.com,messagingengine.com,
cna@jfrog.com,valid,accepted_email,false,true,false,false,cna,jfrog.com,aspmx.l.google.com,google.com,
cna@kaspersky.com,valid,accepted_email,false,false,false,false,cna,kaspersky.com,mx9.kaspersky-labs.com,kaspersky-labs.com,
cna@mongodb.com,valid,accepted_email,false,false,false,false,cna,mongodb.com,aspmx.l.google.com,google.com,
cna@pentraze.com,valid,accepted_email,false,false,false,false,cna,pentraze.com,pentraze-com.mail.protection.outlook.com,outlook.com,
cna@postgresql.org,valid,accepted_email,false,false,false,false,cna,postgresql.org,magus.postgresql.org,postgresql.org,
cna@python.org,valid,accepted_email,false,false,false,false,cna,python.org,mail.python.org,python.org,
